Muni,Code,County
ABSECON CITY,0101,Atlantic County
ATLANTIC CITY,0102,Atlantic County
BRIGANTINE CITY,0103,Atlantic County
BUENA BORO,0104,Atlantic County
BUENA VISTA TWP.,0105,Atlantic County
CORBIN CITY,0106,Atlantic County
EGG HARBOR CITY,0107,Atlantic County
EGG HARBOR TWP.,0108,Atlantic County
ESTELL MANOR CITY,0109,Atlantic County
FOLSOM BORO,0110,Atlantic County
GALLOWAY TWP.,0111,Atlantic County
HAMILTON TWP.,0112,Atlantic County
HAMMONTON TOWN,0113,Atlantic County
LINWOOD CITY,0114,Atlantic County
Longport Boro,0115,Atlantic County
MARGATE CITY,0116,Atlantic County
MULLICA TWP.,0117,Atlantic County
NORTHFIELD CITY,0118,Atlantic County
PLEASANTVILLE CITY,0119,Atlantic County
PORT REPUBLIC CITY,0120,Atlantic County
SOMERS POINT CITY,0121,Atlantic County
Ventnor City,0122,Atlantic County
WEYMOUTH TWP.,0123,Atlantic County
ALLENDALE BORO,0201,Bergen County
ALPINE BORO,0202,Bergen County
BERGENFIELD BORO,0203,Bergen County
BOGOTA BORO,0204,Bergen County
CARLSTADT BORO,0205,Bergen County
CLIFFSIDE PARK BORO,0206,Bergen County
CLOSTER BORO,0207,Bergen County
CRESSKILL BORO,0208,Bergen County
DEMAREST BORO,0209,Bergen County
DUMONT BORO,0210,Bergen County
ELMWOOD PARK BORO,0211,Bergen County
EAST RUTHERFORD BORO,0212,Bergen County
EDGEWATER BORO,0213,Bergen County
EMERSON BORO,0214,Bergen County
ENGLEWOOD CITY,0215,Bergen County
ENGLEWOOD CLIFFS BORO,0216,Bergen County
FAIR LAWN BORO,0217,Bergen County
FAIRVIEW BORO,0218,Bergen County
FORT LEE BORO,0219,Bergen County
FRANKLIN LAKES BORO,0220,Bergen County
GARFIELD CITY,0221,Bergen County
GLEN ROCK BORO,0222,Bergen County
HACKENSACK CITY,0223,Bergen County
HARRINGTON PARK BORO,0224,Bergen County
HASBROUCK HEIGHTS BORO,0225,Bergen County
HAWORTH BORO,0226,Bergen County
HILLSDALE BORO,0227,Bergen County
HOHOKUS BORO,0228,Bergen County
LEONIA BORO,0229,Bergen County
LITTLE FERRY BORO,0230,Bergen County
LODI BORO,0231,Bergen County
LYNDHURST TWP.,0232,Bergen County
MAHWAH TWP.,0233,Bergen County
MAYWOOD BORO,0234,Bergen County
MIDLAND PARK BORO,0235,Bergen County
MONTVALE BORO,0236,Bergen County
MOONACHIE BORO,0237,Bergen County
NEW MILFORD BORO,0238,Bergen County
NORTH ARLINGTON BORO,0239,Bergen County
NORTHVALE BORO,0240,Bergen County
NORWOOD BORO,0241,Bergen County
OAKLAND BORO,0242,Bergen County
OLD TAPPAN BORO,0243,Bergen County
ORADELL BORO,0244,Bergen County
PALISADES PARK BORO,0245,Bergen County
PARAMUS BORO,0246,Bergen County
PARK RIDGE BORO,0247,Bergen County
RAMSEY BORO,0248,Bergen County
RIDGEFIELD BORO,0249,Bergen County
RIDGEFIELD PARK VILLAGE,0250,Bergen County
RIDGEWOOD VILLAGE,0251,Bergen County
RIVER EDGE BORO,0252,Bergen County
RIVER VALE TWP.,0253,Bergen County
ROCHELLE PARK TWP.,0254,Bergen County
ROCKLEIGH BORO,0255,Bergen County
RUTHERFORD BORO,0256,Bergen County
SADDLE BROOK TWP.,0257,Bergen County
SADDLE RIVER BORO,0258,Bergen County
SOUTH HACKENSACK TWP.,0259,Bergen County
TEANECK TWP.,0260,Bergen County
TENAFLY BORO,0261,Bergen County
TETERBORO BORO,0262,Bergen County
UPPER SADDLE RIVER BORO,0263,Bergen County
WALDWICK BORO,0264,Bergen County
WALLINGTON BORO,0265,Bergen County
WASHINGTON TWP.,0266,Bergen County
WESTWOOD BORO,0267,Bergen County
WOODCLIFF LAKE BORO,0268,Bergen County
WOOD-RIDGE BORO,0269,Bergen County
WYCKOFF TWP.,0270,Bergen County
BASS RIVER TWP.,0301,Burlington County
BEVERLY CITY,0302,Burlington County
BORDENTOWN CITY,0303,Burlington County
BORDENTOWN TWP.,0304,Burlington County
BURLINGTON CITY,0305,Burlington County
BURLINGTON TWP.,0306,Burlington County
CHESTERFIELD TWP.,0307,Burlington County
CINNAMINSON TWP.,0308,Burlington County
DELANCO TWP.,0309,Burlington County
DELRAN TWP.,0310,Burlington County
EASTAMPTON TWP.,0311,Burlington County
EDGEWATER PARK TWP.,0312,Burlington County
EVESHAM TWP.,0313,Burlington County
FIELDSBORO BORO,0314,Burlington County
FLORENCE TWP.,0315,Burlington County
HAINESPORT TWP,0316,Burlington County
LUMBERTON TWP.,0317,Burlington County
MANSFIELD TWP.,0318,Burlington County
MAPLE SHADE TWP.,0319,Burlington County
MEDFORD TWP.,0320,Burlington County
MEDFORD LAKES BORO,0321,Burlington County
MOORESTOWN TWP.,0322,Burlington County
MOUNT HOLLY TWP.,0323,Burlington County
MOUNT LAUREL TWP.,0324,Burlington County
NEW HANOVER TWP.,0325,Burlington County
NORTH HANOVER TWP.,0326,Burlington County
PALMYRA BORO,0327,Burlington County
PEMBERTON BORO,0328,Burlington County
PEMBERTON TWP.,0329,Burlington County
RIVERSIDE TWP.,0330,Burlington County
RIVERTON BORO,0331,Burlington County
SHAMONG TWP.,0332,Burlington County
SOUTHAMPTON TWP.,0333,Burlington County
SPRINGFIELD TWP.,0334,Burlington County
TABERNACLE TWP.,0335,Burlington County
WASHINGTON TWP.,0336,Burlington County
WESTAMPTON TWP.,0337,Burlington County
WILLINGBORO TWP.,0338,Burlington County
WOODLAND TWP.,0339,Burlington County
WRIGHTSTOWN BORO,0340,Burlington County
AUDUBON BORO,0401,Camden County
AUDUBON PARK BORO,0402,Camden County
BARRINGTON BORO,0403,Camden County
BELLMAWR BORO,0404,Camden County
BERLIN BORO,0405,Camden County
BERLIN TWP.,0406,Camden County
BROOKLAWN BORO,0407,Camden County
CAMDEN CITY,0408,Camden County
CHERRY HILL TWP.,0409,Camden County
CHESILHURST BORO,0410,Camden County
CLEMENTON BORO,0411,Camden County
COLLINGSWOOD BORO,0412,Camden County
GIBBSBORO BORO,0413,Camden County
GLOUCESTER CITY,0414,Camden County
GLOUCESTER TWP.,0415,Camden County
HADDON TWP.,0416,Camden County
HADDONFIELD BORO,0417,Camden County
HADDON HEIGHTS BORO,0418,Camden County
HI-NELLA BORO,0419,Camden County
LAUREL SPRINGS BORO,0420,Camden County
LAWNSIDE BORO,0421,Camden County
LINDENWOLD BORO,0422,Camden County
MAGNOLIA BORO,0423,Camden County
MERCHANTVILLE BORO,0424,Camden County
MOUNT EPHRAIM BORO,0425,Camden County
OAKLYN BORO,0426,Camden County
PENNSAUKEN TWP.,0427,Camden County
PINE HILL BORO,0428,Camden County
PINE VALLEY BORO,0429,Camden County
RUNNEMEDE BORO,0430,Camden County
SOMERDALE BORO,0431,Camden County
STRATFORD BORO,0432,Camden County
TAVISTOCK BORO,0433,Camden County
VOORHEES TWP,0434,Camden County
WATERFORD TWP.,0435,Camden County
WINSLOW TW,0436,Camden County
WOODLYNNE BORO,0437,Camden County
AVALON BORO,0501,Cape May County
CAPE MAY CITY,0502,Cape May County
CAPE MAY POINT BORO,0503,Cape May County
DENNIS TWP.,0504,Cape May County
LOWER TWP.,0505,Cape May County
MIDDLE TWP.,0506,Cape May County
OCEAN CITY,0508,Cape May County
SEA ISLE CITY,0509,Cape May County
STONE HARBOR BORO,0510,Cape May County
UPPER TWP.,0511,Cape May County
WEST CAPE MAY BORO,0512,Cape May County
WEST WILDWOOD BORO,0513,Cape May County
WILDWOOD CITY,0514,Cape May County
WILDWOOD CREST BORO,0515,Cape May County
WOODBINE BORO,0516,Cape May County
BRIDGETON CITY,0601,Cumberland County
COMMERCIAL TWP.,0602,Cumberland County
DEERFIELD TWP.,0603,Cumberland County
DOWNE TWP.,0604,Cumberland County
FAIRFIELD TWP.,0605,Cumberland County
GREENWICH TWP.,0606,Cumberland County
HOPEWELL TWP.,0607,Cumberland County
LAWRENCE TWP.,0608,Cumberland County
MAURICE RIVER TWP.,0609,Cumberland County
MILLVILLE CITY,0610,Cumberland County
SHILOH BORO,0611,Cumberland County
STOW CREEK TWP.,0612,Cumberland County
UPPER DEERFIELD TWP.,0613,Cumberland County
VINELAND CITY,0614,Cumberland County
BELLEVILLE TWP.,0701,Essex County
BLOOMFIELD TWP.,0702,Essex County
CALDWELL BORO TWP.,0703,Essex County
CEDAR GROVE TWP.,0704,Essex County
EAST ORANGE CITY,0705,Essex County
ESSEX FELLS TWP.,0706,Essex County
FAIRFIELD TWP.,0707,Essex County
GLEN RIDGE BORO TWP.,0708,Essex County
IRVINGTON TWP.,0709,Essex County
LIVINGSTON TWP.,0710,Essex County
MAPLEWOOD TWP.,0711,Essex County
MILLBURN TWP.,0712,Essex County
MONTCLAIR TWP.,0713,Essex County
NEWARK CITY,0714,Essex County
NORTH CALDWELL BORO,0715,Essex County
NUTLEY TWP.,0716,Essex County
CITY OF ORANGE TWP.,0717,Essex County
ROSELAND BORO,0718,Essex County
SOUTH ORANGE VILLAGE TWP.,0719,Essex County
VERONA TWP.,0720,Essex County
WEST CALDWELL TWP.,0721,Essex County
WEST ORANGE TWP.,0722,Essex County
CLAYTON BORO,0801,Gloucester County
DEPTFORD TWP.,0802,Gloucester County
EAST GREENWICH TWP.,0803,Gloucester County
ELK TWP.,0804,Gloucester County
FRANKLIN TWP.,0805,Gloucester County
GLASSBORO BORO,0806,Gloucester County
GREENWICH TWP.,0807,Gloucester County
HARRISON TWP.,0808,Gloucester County
LOGAN TWP.,0809,Gloucester County
MANTUA TWP.,0810,Gloucester County
MONROE TWP.,0811,Gloucester County
NATIONAL PARK BORO,0812,Gloucester County
NEWFIELD BORO,0813,Gloucester County
PAULSBORO BORO,0814,Gloucester County
PITMAN BORO,0815,Gloucester County
SOUTH HARRISON TWP.,0816,Gloucester County
SWEDESBORO BORO,0817,Gloucester County
WASHINGTON TWP.,0818,Gloucester County
WENONAH BORO,0819,Gloucester County
WEST DEPTFORD TWP.,0820,Gloucester County
WESTVILLE BORO,0821,Gloucester County
WOODBURY CITY,0822,Gloucester County
WOODBURY HEIGHTS BORO,0823,Gloucester County
WOOLWICH TWP.,0824,Gloucester County
BAYONNE CITY,0901,Hudson County
EAST NEWARK BORO,0902,Hudson County
GUTTENBERG TOWN,0903,Hudson County
HARRISON TOWN,0904,Hudson County
HOBOKEN CITY,0905,Hudson County
JERSEY CITY,0906,Hudson County
KEARNY TOWN,0907,Hudson County
NORTH BERGEN TWP.,0908,Hudson County
SECAUCUS TOWN,0909,Hudson County
UNION CITY,0910,Hudson County
WEEHAWKEN TWP.,0911,Hudson County
WEST NEW YORK TOWN,0912,Hudson County
ALEXANDRIA TWP.,1001,Hunterdon County
BETHLEHEM TWP.,1002,Hunterdon County
BLOOMSBURY BORO,1003,Hunterdon County
CALIFON BORO,1004,Hunterdon County
CLINTON TOWN,1005,Hunterdon County
CLINTON TWP.,1006,Hunterdon County
DELAWARE TWP.,1007,Hunterdon County
EAST AMWELL TWP.,1008,Hunterdon County
FLEMINGTON BORO,1009,Hunterdon County
FRANKLIN TWP.,1010,Hunterdon County
FRENCHTOWN BORO,1011,Hunterdon County
GLEN GARDNER BORO,1012,Hunterdon County
HAMPTON BORO,1013,Hunterdon County
HIGH BRIDGE BORO,1014,Hunterdon County
HOLLAND TWP.,1015,Hunterdon County
KINGWOOD TWP.,1016,Hunterdon County
LAMBERTVILLE CITY,1017,Hunterdon County
LEBANON BORO,1018,Hunterdon County
LEBANON TWP.,1019,Hunterdon County
MILFORD BORO,1020,Hunterdon County
RARITAN TWP.,1021,Hunterdon County
READINGTON TWP.,1022,Hunterdon County
STOCKTON BORO,1023,Hunterdon County
TEWKSBURY TWP.,1024,Hunterdon County
UNION TWP.,1025,Hunterdon County
WEST AMWELL TWP.,1026,Hunterdon County
EAST WINDSOR TWP.,1101,Mercer County
EWING TWP.,1102,Mercer County
HAMILTON TWP.,1103,Mercer County
HIGHTSTOWN BORO,1104,Mercer County
HOPEWELL BORO,1105,Mercer County
HOPEWELL TWP.,1106,Mercer County
LAWRENCE TWP.,1107,Mercer County
PENNINGTON BORO,1108,Mercer County
PRINCETON BORO,1109,Mercer County
PRINCETON TWP.,1110,Mercer County
TRENTON CITY,1111,Mercer County
WASHINGTON TWP.,1112,Mercer County
WEST WINDSOR TWP.,1113,Mercer County
CARTERET BORO,1201,Middlesex County
CRANBURY TWP.,1202,Middlesex County
DUNELLEN BORO,1203,Middlesex County
EAST BRUNSWICK TWP.,1204,Middlesex County
EDISON TWP.,1205,Middlesex County
HELMETTA BORO,1206,Middlesex County
HIGHLAND PARK BORO,1207,Middlesex County
JAMESBURG BORO,1208,Middlesex County
OLD BRIDGE TWP.,1209,Middlesex County
METUCHEN BORO,1210,Middlesex County
MIDDLESEX BORO,1211,Middlesex County
MILLTOWN BORO,1212,Middlesex County
MONROE TWP.,1213,Middlesex County
NEW BRUNSWICK CITY,1214,Middlesex County
NORTH BRUNSWICK TWP.,1215,Middlesex County
PERTH AMBOY CITY,1216,Middlesex County
PISCATAWAY TWP.,1217,Middlesex County
PLAINSBORO TWP.,1218,Middlesex County
SAYREVILLE BORO,1219,Middlesex County
SOUTH AMBOY CITY,1220,Middlesex County
SOUTH BRUNSWICK TWP.,1221,Middlesex County
SOUTH PLAINFIELD BORO,1222,Middlesex County
SOUTH RIVER BORO,1223,Middlesex County
SPOTSWOOD BORO,1224,Middlesex County
WOODBRIDGE TWP.,1225,Middlesex County
ALLENHURST BORO,1301,Monmouth County
ALLENTOWN BORO,1302,Monmouth County
ASBURY PARK CITY,1303,Monmouth County
ATLANTIC HIGHLANDS BORO,1304,Monmouth County
AVON-BY-THE-SEA BORO,1305,Monmouth County
BELMAR BORO,1306,Monmouth County
BRADLEY BEACH BORO,1307,Monmouth County
BRIELLE BORO,1308,Monmouth County
COLTS NECK TWP.,1309,Monmouth County
DEAL BORO,1310,Monmouth County
EATONTOWN BORO,1311,Monmouth County
ENGLISHTOWN BORO,1312,Monmouth County
FAIR HAVEN BORO,1313,Monmouth County
FARMINGDALE BORO,1314,Monmouth County
FREEHOLD BORO,1315,Monmouth County
FREEHOLD TWP.,1316,Monmouth County
HIGHLANDS BORO,1317,Monmouth County
HOLMDEL TWP.,1318,Monmouth County
HOWELL TWP.,1319,Monmouth County
INTERLAKEN BORO,1320,Monmouth County
KEANSBURG BORO,1321,Monmouth County
KEYPORT BORO,1322,Monmouth County
LITTLE SILVER BORO,1323,Monmouth County
LOCH ARBOUR VILLAGE,1324,Monmouth County
LONG BRANCH CITY,1325,Monmouth County
MANALAPAN TWP.,1326,Monmouth County
MANASQUAN BORO,1327,Monmouth County
MARLBORO TWP.,1328,Monmouth County
MATAWAN BORO,1329,Monmouth County
ABERDEEN TWP.,1330,Monmouth County
MIDDLETOWN TWP.,1331,Monmouth County
MILLSTONE TWP.,1332,Monmouth County
MONMOUTH BEACH BORO,1333,Monmouth County
NEPTUNE TWP.,1334,Monmouth County
NEPTUNE CITY BORO,1335,Monmouth County
TINTON FALLS BORO,1336,Monmouth County
OCEAN TWP.,1337,Monmouth County
OCEANPORT BORO,1338,Monmouth County
HAZLET TWP.,1339,Monmouth County
RED BANK BORO,1340,Monmouth County
ROOSEVELT BORO,1341,Monmouth County
RUMSON BORO,1342,Monmouth County
SEA BRIGHT BORO,1343,Monmouth County
SEA GIRT BORO,1344,Monmouth County
SHREWSBURY BORO,1345,Monmouth County
SHREWSBURY TWP.,1346,Monmouth County
SOUTH BELMAR BORO,1347,Monmouth County
SPRING LAKE BORO,1348,Monmouth County
SPRING LAKE HEIGHTS BORO,1349,Monmouth County
UNION BEACH BORO,1350,Monmouth County
UPPER FREEHOLD TWP.,1351,Monmouth County
WALL TWP.,1352,Monmouth County
WEST LONG BRANCH BORO,1353,Monmouth County
BOONTON TOWN,1401,Morris County
BOONTON TWP.,1402,Morris County
BUTLER BORO,1403,Morris County
CHATHAM BORO,1404,Morris County
CHATHAM TWP.,1405,Morris County
CHESTER BORO,1406,Morris County
CHESTER TWP.,1407,Morris County
DENVILLE TWP.,1408,Morris County
DOVER TOWN,1409,Morris County
EAST HANOVER TWP.,1410,Morris County
FLORHAM PARK BORO,1411,Morris County
HANOVER TWP.,1412,Morris County
HARDING TWP.,1413,Morris County
KINNELON BORO,1415,Morris County
LINCOLN PARK BORO,1416,Morris County
MADISON BORO,1417,Morris County
MENDHAM BORO,1418,Morris County
MENDHAM TWP.,1419,Morris County
MINE HILL TWP.,1420,Morris County
MONTVILLE TWP.,1421,Morris County
MORRIS TWP.,1422,Morris County
MORRIS PLAINS BORO,1423,Morris County
MORRISTOWN TOWN,1424,Morris County
MOUNTAIN LAKES BORO,1425,Morris County
MOUNT ARLINGTON BORO,1426,Morris County
MOUNT OLIVE TWP.,1427,Morris County
NETCONG BORO,1428,Morris County
PARSIPPANY-TROY HILLS TWP.,1429,Morris County
LONG HILL TWP.,1430,Morris County
PEQUANNOCK TWP.,1431,Morris County
RANDOLPH TWP.,1432,Morris County
RIVERDALE BORO,1433,Morris County
ROCKAWAY BORO,1434,Morris County
ROCKAWAY TWP.,1435,Morris County
ROXBURY TWP.,1436,Morris County
VICTORY GARDENS BORO,1437,Morris County
WASHINGTON TWP.,1438,Morris County
WHARTON BORO,1439,Morris County
BARNEGAT LIGHT BORO,1501,Ocean County
BAY HEAD BORO,1502,Ocean County
BEACH HAVEN BORO,1503,Ocean County
BEACHWOOD BORO,1504,Ocean County
BERKELEY TWP.,1505,Ocean County
BRICK TWP.,1506,Ocean County
DOVER TWP.,1507,Ocean County
EAGLESWOOD TWP.,1508,Ocean County
HARVEY CEDARS BORO,1509,Ocean County
ISLAND HEIGHTS BORO,1510,Ocean County
JACKSON TWP.,1511,Ocean County
LACEY TWP.,1512,Ocean County
LAKEHURST BORO,1513,Ocean County
LAKEWOOD TWP.,1514,Ocean County
LAVALLETTE BORO,1515,Ocean County
LITTLE EGG HARBOR TWP.,1516,Ocean County
LONG BEACH TWP.,1517,Ocean County
MANCHESTER TWP.,1518,Ocean County
MANTALOKING BORO,1519,Ocean County
OCEAN TWP.,1520,Ocean County
OCEAN GATE BORO,1521,Ocean County
PINE BEACH BORO,1522,Ocean County
PLUMSTED TWP.,1523,Ocean County
POINT PLEASANT BORO,1524,Ocean County
POINT PLEASANT BEACH BORO,1525,Ocean County
SEASIDE HEIGHTS BORO,1526,Ocean County
SEASIDE PARK BORO,1527,Ocean County
SHIP BOTTOM BORO,1528,Ocean County
SOUTH TOMS RIVER BORO,1529,Ocean County
STAFFORD TWP.,1530,Ocean County
SURF CITY BORO,1531,Ocean County
TUCKERTON BORO,1532,Ocean County
BARNEGAT TWP.,1533,Ocean County
BLOOMINGDALE BORO,1601,Passaic County
CLIFTON CITY,1602,Passaic County
HALEDON BORO,1603,Passaic County
HAWTHORNE BORO,1604,Passaic County
LITTLE FALLS TWP.,1605,Passaic County
NORTH HALEDON BORO,1606,Passaic County
PASSAIC CITY,1607,Passaic County
PATERSON CITY,1608,Passaic County
POMPTON LAKES BORO,1609,Passaic County
PROSPECT PARK BORO,1610,Passaic County
RINGWOOD BORO,1611,Passaic County
TOTOWA BORO,1612,Passaic County
WANAQUE BORO,1613,Passaic County
WAYNE TWP.,1614,Passaic County
WEST MILFORD TWP.,1615,Passaic County
WEST PATERSON BORO,1616,Passaic County
ALLOWAY TWP.,1701,Salem County
ELMER BORO,1702,Salem County
ELSINBORO TWP.,1703,Salem County
LOWER ALLOWAYS CREEK TWP.,1704,Salem County
MANNINGTON TWP.,1705,Salem County
OLDMANS TWP.,1706,Salem County
PENNS GROVE BORO,1707,Salem County
PENNSVILLE TWP.,1708,Salem County
PILESGROVE TWP.,1709,Salem County
PITTSGROVE TWP.,1710,Salem County
QUINTON TWP.,1711,Salem County
SALEM CITY,1712,Salem County
CARNEYS POINT TWP.,1713,Salem County
UPPER PITTSGROVE TWP.,1714,Salem County
WOODSTOWN BORO,1715,Salem County
BEDMINSTER TWP.,1801,Somerset County
BERNARDS TWP.,1802,Somerset County
BERNARDSVILLE BORO,1803,Somerset County
BOUND BROOK BORO,1804,Somerset County
BRANCHBURG TWP.,1805,Somerset County
BRIDGEWATER TWP.,1806,Somerset County
FAR HILLS BORO,1807,Somerset County
FRANKLIN TWP.,1808,Somerset County
GREEN BROOK TWP.,1809,Somerset County
HILLSBOROUGH TWP.,1810,Somerset County
MANVILLE BORO,1811,Somerset County
MILLSTONE BORO,1812,Somerset County
MONTGOMERY TWP.,1813,Somerset County
NORTH PLAINFIELD BORO,1814,Somerset County
PEAPACK GLADSTONE BORO,1815,Somerset County
RARITAN BORO,1816,Somerset County
ROCKY HILL BORO,1817,Somerset County
SOMERVILLE BORO,1818,Somerset County
SOUTH BOUND BROOK BORO,1819,Somerset County
WARREN TWP.,1820,Somerset County
WATCHUNG BORO,1821,Somerset County
ANDOVER BORO,1901,Sussex County
ANDOVER TWP.,1902,Sussex County
BRANCHVILLE BORO,1903,Sussex County
BYRAM TWP.,1904,Sussex County
FRANKFORD TWP.,1905,Sussex County
FRANKLIN BORO,1906,Sussex County
FREDON TWP.,1907,Sussex County
GREEN TWP.,1908,Sussex County
HAMBURG BORO,1909,Sussex County
HAMPTON TWP.,1910,Sussex County
HARDYSTON TWP.,1911,Sussex County
HOPATCONG BORO,1912,Sussex County
LAFAYETTE TWP.,1913,Sussex County
MONTAGUE TWP.,1914,Sussex County
NEWTON TOWN,1915,Sussex County
OGDENSBURG BORO,1916,Sussex County
SANDYSTON TWP.,1917,Sussex County
SPARTA TWP.,1918,Sussex County
STANHOPE BORO,1919,Sussex County
STILLWATER TWP.,1920,Sussex County
SUSSEX BORO,1921,Sussex County
VERNON TWP.,1922,Sussex County
WALPACK TWP.,1923,Sussex County
WANTAGE TWP.,1924,Sussex County
BERKELEY HEIGHTS TWP.,2001,Union County
CLARK TWP.,2002,Union County
CRANFORD TWP.,2003,Union County
ELIZABETH CITY,2004,Union County
FANWOOD BORO,2005,Union County
GARWOOD BORO,2006,Union County
HILLSIDE TWP.,2007,Union County
KENILWORTH BORO,2008,Union County
LINDEN CITY,2009,Union County
MOUNTAINSIDE BORO,2010,Union County
NEW PROVIDENCE BORO,2011,Union County
PLAINFIELD CITY,2012,Union County
RAHWAY CITY,2013,Union County
ROSELLE BORO,2014,Union County
ROSELLE PARK BORO,2015,Union County
SCOTCH PLAINS TWP.,2016,Union County
SPRINGFIELD TWP.,2017,Union County
SUMMIT CITY,2018,Union County
UNION TWP.,2019,Union County
WESTFIELD TWP.,2020,Union County
WINFIELD TWP.,2021,Union County
ALLAMUCHY TWP.,2101,Warren County
ALPHA BORO,2102,Warren County
BELVIDERE TWP.,2103,Warren County
BLAIRSTOWN TWP.,2104,Warren County
FRANKLIN TWP.,2105,Warren County
FRELINGHUYSEN TWP.,2106,Warren County
GREENWICH TWP.,2107,Warren County
HACKETTSTOWN TOWN,2108,Warren County
HARDWICK TWP.,2109,Warren County
HARMONY TWP.,2110,Warren County
HOPE TWP.,2111,Warren County
INDEPENDENCE TWP.,2112,Warren County
KNOWLTON TWP.,2113,Warren County
LIBERTY TWP.,2114,Warren County
LOPATCONG TWP.,2115,Warren County
MANSFIELD TWP.,2116,Warren County
OXFORD TWP.,2117,Warren County
PHILLIPSBURG TOWN,2119,Warren County
POHATCONG TWP.,2120,Warren County
WASHINGTON BORO,2121,Warren County
WASHINGTON TWP.,2122,Warren County
WHITE TWP.,2123,Warren County